bond length,energy
1,-1.44537
1.1,-1.40361
1.2,-1.35979
1.3,-1.3195
1.4,-1.28242
1.5,-1.24727
1.6,-1.2163
1.7,-1.1847
1.8,-1.15522
1.9,-1.12768
2,-1.10409
2.1,-1.07793
2.2,-1.05776
2.3,-1.0358
2.4,-1.02175
2.5,-0.995592
2.6,-0.976578
2.7,-0.957845
2.8,-0.942986
2.9,-0.926144
3,-0.91144
3.1,-0.898496
3.2,-0.883161
3.3,-0.873386
3.4,-0.861818
3.5,-0.848732
3.6,-0.833055
3.7,-0.825514
3.8,-0.809823
3.9,-0.807426
4,-0.791486
4.1,-0.78522
4.2,-0.779632
4.3,-0.768336
4.4,-0.761403
4.5,-0.753022
4.6,-0.74453
4.7,-0.727061
4.8,-0.71818
4.9,-0.723255
5,-0.708996
5.1,-0.708929
5.2,-0.701021
5.3,-0.698119
5.4,-0.701653
5.5,-0.690594
5.6,-0.661546
5.7,-0.680192
5.8,-0.650272
5.9,-0.658367
6,-0.651049
6.1,-0.633097
6.2,-0.651475
6.3,-0.628261
6.4,-0.625034
6.5,-0.661012
6.6,-0.62595
6.7,-0.614335
6.8,-0.625107
6.9,-0.611294
7,-0.591145
7.1,-0.603731
7.2,-0.59812
7.3,-0.604658
7.4,-0.558973
7.5,-0.561455
7.6,-0.529648
7.7,-0.549439
7.8,-0.56137
7.9,-0.506205
8,-0.509074
