bond length,energy
0.25,-1.86325
0.275,-1.85276
0.3,-1.83845
0.325,-1.8222
0.35,-1.80962
0.375,-2.02859
0.4,-1.77913
0.425,-1.76114
0.45,-1.75041
0.475,-1.73215
0.5,-1.73733
0.525,-1.70208
0.55,-1.69331
0.575,-1.67274
0.6,-1.65938
0.625,-1.65152
0.65,-1.63132
0.675,-1.6159
0.7,-1.60326
0.725,-1.58931
0.75,-1.57248
0.775,-1.55978
0.8,-1.5466
0.825,-1.53683
0.85,-1.52196
0.875,-1.51342
0.9,-1.49741
0.925,-1.48371
0.95,-1.46893
0.975,-1.46286
1,-5.08241
1.025,-1.43437
1.05,-1.42299
1.075,-1.4144
1.1,-1.40151
1.125,-1.39208
1.15,-1.38266
1.175,-1.36918
1.2,-1.36069
1.225,-1.34822
1.25,-1.33887
1.275,-1.33072
1.3,-1.31904
1.325,-1.32138
1.35,-1.30168
1.375,-1.29002
1.4,-1.282
1.425,-1.2742
1.45,-1.26381
1.475,-1.25544
1.5,-1.24835
1.525,-1.2392
1.55,-1.23177
1.575,-1.22165
1.6,-1.21403
1.625,-1.21564
1.65,-1.19729
1.675,-1.19082
1.7,-1.1844
1.725,-1.17627
1.75,-1.16768
1.775,-1.16228
1.8,-1.1566
1.825,-1.14859
1.85,-1.14648
1.875,-1.1356
1.9,-1.12803
1.925,-1.12173
1.95,-1.11501
1.975,-1.10728
2,-1.10498
2.025,-1.0957
2.05,-1.08937
2.075,-1.08422
2.1,-1.079
2.125,-1.07242
2.15,-1.06572
2.175,-1.0606
2.2,-1.05512
2.225,-1.05038
2.25,-1.04438
2.275,-1.03897
2.3,-1.0327
2.325,-1.02824
2.35,-1.02371
2.375,-1.0182
2.4,-1.0122
2.425,-1.00741
2.45,-1.00413
2.475,-0.998745
2.5,-0.992242
2.525,-0.988331
2.55,-0.98275
2.575,-0.981113
2.6,-0.976445
2.625,-0.968982
2.65,-0.965257
2.675,-0.963032
2.7,-0.958826
2.725,-0.952912
2.75,-0.948145
2.775,-0.945581
2.8,-0.940937
2.825,-0.935813
2.85,-0.93248
2.875,-0.929189
2.9,-0.925912
2.925,-0.921445
2.95,-0.917668
2.975,-0.915213
3,-0.910737
3.025,-0.904626
3.05,-0.900142
3.075,-0.899866
3.1,-0.894954
3.125,-0.889492
3.15,-0.89229
3.175,-0.885295
3.2,-0.87857
3.225,-0.878854
3.25,-0.876197
3.275,-0.872113
3.3,-0.869109
3.325,-0.866607
3.35,-0.863748
3.375,-0.857629
3.4,-0.853499
3.425,-0.878074
3.45,-0.849527
3.475,-0.852133
3.5,-0.842913
3.525,-0.844096
3.55,-0.839207
3.575,-0.832444
3.6,-0.830374
3.625,-0.827306
3.65,-0.829656
3.675,-0.826068
3.7,-0.826105
3.725,-0.818786
3.75,-0.816911
3.775,-0.81348
3.8,-0.813524
3.825,-0.812922
3.85,-0.80543
3.875,-0.800884
3.9,-0.801963
3.925,-0.799371
3.95,-0.796386
3.975,-0.79739
4,-0.789513
4.025,-0.787963
4.05,-0.784679
4.075,-0.786952
4.1,-0.779757
4.125,-0.782114
4.15,-0.778958
4.175,-0.784011
4.2,-0.774325
4.225,-0.771621
4.25,-0.767188
4.275,-0.769361
4.3,-0.763504
4.325,-0.762628
4.35,-0.757919
4.375,-0.762174
4.4,-0.759599
4.425,-0.75307
4.45,-0.753258
4.475,-0.753559
4.5,-0.745031
4.525,-0.749943
4.55,-0.742976
4.575,-0.74764
4.6,-0.738783
4.625,-0.73567
4.65,-0.738636
4.675,-0.732021
4.7,-0.732228
4.725,-0.734478
4.75,-0.730794
4.775,-0.72434
4.8,-0.725935
4.825,-0.726045
4.85,-0.72652
4.875,-0.724223
4.9,-0.729216
4.925,-0.719834
4.95,-0.715801
4.975,-0.719616
