bond length,energy
0.1,-2.54024
0.15,-2.50274
0.2,-2.48717
0.25,-2.46011
0.3,-2.45562
0.35,-2.42167
0.4,-2.39805
0.45,-2.37734
0.5,-2.34505
0.55,-2.32299
0.6,-2.29309
0.65,-2.26079
0.7,-2.23691
0.75,-2.21283
0.8,-2.18225
0.85,-2.15713
0.9,-2.13462
0.95,-2.10531
1,-2.07775
1.05,-2.05936
1.1,-2.0365
1.15,-2.00951
1.2,-1.98631
1.25,-1.96258
1.3,-1.93963
1.35,-1.91496
1.4,-1.89265
1.45,-1.86837
1.5,-1.84764
1.55,-1.82727
1.6,-1.80755
1.65,-1.7843
1.7,-1.7663
1.75,-1.74205
1.8,-1.72386
1.85,-1.704
1.9,-1.68527
1.95,-1.66607
2,-1.64529
2.05,-1.62665
2.1,-1.60985
2.15,-1.58863
2.2,-1.5731
2.25,-1.55487
2.3,-1.53672
2.35,-1.5174
2.4,-1.49876
2.45,-1.48374
2.5,-1.46612
2.55,-1.45146
2.6,-1.43296
2.65,-1.41461
2.7,-1.39926
2.75,-1.38403
2.8,-1.36822
2.85,-1.35275
2.9,-1.33608
2.95,-1.32025
3,-1.30247
bond length,energy
3,-1.30387
3.05,-1.28774
3.1,-1.27552
3.15,-1.25913
3.2,-1.24023
3.25,-1.22711
3.3,-1.21522
3.35,-1.19897
3.4,-1.1822
3.45,-1.17066
3.5,-1.15541
3.55,-1.1431
3.6,-1.12635
3.65,-1.11372
3.7,-1.09991
3.75,-1.08502
3.8,-1.07442
3.85,-1.05659
3.9,-1.04493
3.95,-1.0307
4,-1.01959
4.05,-1.00481
4.1,-0.993585
4.15,-0.977985
4.2,-0.972114
4.25,-0.952981
4.3,-0.942181
4.35,-0.926424
4.4,-0.917726
4.45,-0.905932
4.5,-0.891284
4.55,-0.876921
4.6,-0.870903
4.65,-0.857753
4.7,-0.846344
4.75,-0.831948
4.8,-0.822449
4.85,-0.807015
4.9,-0.799238
4.95,-0.787914
5,-0.773811
5.05,-0.766913
5.1,-0.752684
5.15,-0.743631
5.2,-0.727797
5.25,-0.720939
5.3,-0.709857
5.35,-0.700908
5.4,-0.690029
5.45,-0.67444
5.5,-0.669485
